rank,title,artist,album
1,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons)
2,당신과는 천천히,장범준,장범준 3집
3,노래방에서,장범준,장범준 3집
4,Blue,태연 (TAEYEON),사계 (Four Seasons)
5,그건 아마 우리의 잘못은 아닐 거야,백예린,Our love is great
6,주저하는 연인들을 위해,잔나비,전설
7,고고베베 (gogobebe),마마무(Mamamoo),White Wind
8,달라달라,ITZY (있지),IT'z Different
9,옥탑방,엔플라잉(N.Flying),FLY HIGH PROJECT #2 '옥탑방'
10,봄 (feat. 산다라박),박봄,Spring
11,SHE'S FINE,헤이즈(HEIZE),She's Fine
12,술이 달다 (Feat. Crush),에픽하이 (EPIK HIGH),sleepless in __________
13,일산으로,장범준,장범준 3집
14,그때가 좋았어,케이시,그때가 좋았어
15,그모습 그대로,장범준,장범준 3집
16,야간비행 (魔女の花),백예린,Our love is great
17,멍청이(twit),화사(Hwa Sa),멍청이(twit)
18,그러니까 (Feat. Colde),헤이즈(HEIZE),She's Fine
19,내가 날 모르는 것처럼 (Feat. 카더가든),백예린,Our love is great
20,벌써 12시,청하,벌써 12시
21,Senorita,(여자)아이들,I made
22,지켜줄게,백예린,Our love is great
23,호불호 (Feat. 기리보이) (Prod. By GRAY),우원재,호불호
24,이밤,장범준,장범준 3집
25,눈 (Prod. 기리보이),강현준 (Lil tachi),고등래퍼3 팀대항전 Part 1
26,2002,Anne-Marie(앤 마리),Speak Your Mind [Deluxe]
27,이 노래가 클럽에서 나온다면,우디(Woody),이 노래가 클럽에서 나온다면
28,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,MONKEY HOTEL
29,I’m So Hot,모모랜드(MOMOLAND),Show Me
30,그러나,10cm(십센치),4.3
31,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
32,왜,장범준,장범준 3집
33,너를 만나,폴킴(Paul Kim),너를 만나
34,7 rings,Ariana Grande(아리아나 그란데),7 rings
35,Dear my blue,백예린,Our love is great
36,넘쳐흘러,엠씨더맥스(M.C THE MAX),Circular
37,신청곡 (Feat. SUGA of BTS),이소라,신청곡 (Feat. SUGA of BTS)
38,새벽에,에픽하이 (EPIK HIGH),sleepless in __________
39,누아르 (Noir),선미,누아르 (Noir)
40,오늘 밤에,홍진영,Lots of Love
41,180도,벤,180˚
42,사계 (하루살이),엠씨더맥스(M.C THE MAX),Circular
43,SOLO,제니 (JENNIE),SOLO
44,혼자,거미,혼자
45,신용재,하은,신용재
46,Our love is great,백예린,Our love is great
47,여자친구,하은요셉,여자친구
48,띵 (Prod. By 기리보이),Jvcki Wai,Dingo X Indigo Music
49,YES or YES,TWICE (트와이스),YES or YES
50,i'm so tired...,Lauv(라우브),i'm so tired...
51,엄마 용돈 좀 보내주세요,장범준,장범준 3집
52,초록빛,폴킴(Paul Kim),초록빛
53,Way Back Home,숀(SHAUN),Take
54,너도 그냥 날 놓아주면 돼,윤건,너도 그냥 날 놓아주면 돼
55,사랑해서 그래,강민경,강민경 1집
56,삐삐,아이유(IU),삐삐
57,상상속에서,장범준,장범준 3집
58,Paris In The Rain,Lauv(라우브),I met you when I was 18. (the playlist)
59,내가 날 모르는 것처럼 (2019 ver.),백예린,Our love is great
60,내 생에 아름다운,케이윌,뷰티 인사이드 (JTBC 월화드라마) OST - Part.4
61,"thank u, next",Ariana Grande(아리아나 그란데),"thank u, next"
62,벚꽃 엔딩,버스커 버스커(Busker Busker),버스커 버스커 1집
